src,predicted,actual
you hate mankind much,तुम पिछले गांव से आते हैं,आप बहुत मानव जाति से नफरत है
why must you torture me,क्योंतुममुझेयातनाचाहिए,क्योंतुममुझेयातनाचाहिए
it is miller time,यह आखिरी समय है,यह मिलर समय है
that may surprise some people,आप आप अपने सबक नहीं हो,यह कुछ लोगों को आश्चर्य कर सकता है
when did we get these,हम हम गए होगा,जब हम ये कैसे मिला
so where has she gone,तो वह कहाँ हो रहा है,तो वह कहाँ चला गया है
you are in for a treat,तुम किसी के लिए गोद न होगा,आप एक उपचार के लिए कर रहे हैं
she does not have to die,वह कोई नहीं नहीं,वह मरने के लिए नहीं है
how did you find out,तुम्हें कैसे पता चला,तुम्हें कैसे पता चला
surely the dead can wait,निश्चित रूप से मर चुका इंतजार कर सकते हैं,निश्चित रूप से मर चुका इंतजार कर सकते हैं
this means she is right here,यह नहीं नहीं सब अच्छा है,यह वह यहीं है इसका मतलब है
this is complete fucking bollocks,यह पुस्तक हो रही है,वह एक पूरी बकवास है
turn your face little right,एक थोड़ा के ले ले लो,अपना चेहरा जरा दांये घुमाना
get in the corner,जागो छोटे से,कोने में जाओ
i found them,मैं सब मार बनाया,मैं उन्हें मिल गया
a handful at a time,एक समय एकदम साफ़,एक मुट्ठी एक बार में
that is more like it,कोई की चीज़ कोई है,यह हुई न बात
you want me want what,आप मुझ पर जानते हो,क्या तुम मुझे चाहते हो   मतलब क्या चाहते हो
and what was her name,और क्या उसका नाम   था,और क्या उसका नाम   था
and the soup,और और पीछे,और सूप
he could be a phantasm,उन्होंने कहा कि एक माया हो सकता है,उन्होंने कहा कि एक माया हो सकता है
there is a copy alright,यह सच ठीक है,एक प्रति ठीक है नहीं है
attention the approaching aircraft,सड़क छोटे से,सावधान आ विमान
it is not that easy,यह सही नहीं है,यह इतना आसान नहीं है
i will miss you too,मैं तुम्हें बताया कि मैडम,मैं तुम्हें बहुत याद आएगी
what did you say,तुमने क्या गढ़बड की है,क्या कहा तुमने
that is a class ten,यह एक महत्वपूर्ण संदेश है,यह वाला तो दस नंबरी है
we have no more oilfields,हम किसी दुर्भावना में नहीं है,हमारे पास और तेल कूप नहीं हैं
chemical and missile attacks,हमारे हमारे रोको और ऑपरेशन,रासायनिक और मिसाइल हमलों से सुरक्षित बनाया गया है
i have been arrested times,मैं अपने कमबख्त चित्रों पर देखा है,मैं   बार गिरफ्तार किया गया है
no sir i have not,नहीं नहीं मैं नहीं जानता,नहीं सर मैं नहीं किया है
what do we do now,अब हम क्या करें,अब हम क्या करें
not to mention it is pathetic,यह ग़लत है यह तुम्हारा है है,नहीं यह उल्लेख दयनीय है
head chief she is here,क्योंकि   यह इस अच्छा है,प्रमुख चीफ वह यहाँ है
she belonged with me,वह मेरे साथ है,वह मेरे साथ थे
umm i was just curious,हाँ मैं फिदा हो गया था,मैं बस थोड़ा व्याकुल हूँ
now write the word wealth,दाएँ आँखें बंद हो जाएगा,अब शब्द लिखना   धन
i was waiting for this,मैं इस में खेद है,मुझे इसकी प्रतीक्षा थी
i am mei mei,मैं बहुत बुद्धिमान हूं,मैं मे मे हूँ
hardly peter ustinov is he,भाई ' यह है ठीक है,पीटर उस्तीनोव तो नहीं समझता
i am trying to sir,मैं माफी करने के लिए से कर रहा हूँ,मैं करने के लिए सर की कोशिश कर रहा हूँ
surprised to see me peter,भगवान के लोग मुझे ये मुझसे होता है,एमई पीटर देख कर हैरान
you will wake the baby,तुम बच्चे को जगा दोगे,तुम बच्चे को जगा दोगे
put the gun down cameron,कैमरून बंदूक नीचे रखो,कैमरून बंदूक नीचे रखो
slide it on back,वापस से चोरी हुई था,यह पीठ पर स्लाइड
that bitch is gigantic,बहुत अच्छा अच्छा थी,उस कुतिया से बड़ा है
all right all right,ठीक है कि,खड़े हो जाओ   ठीक है ठीक है
until your heart stops beating,अपने पेट का बेटा था,जब तक तुम्हारे दिल की धड़कन रुक जाती है
this is your honeymoon suite,यह अपने हनीमून सुइट है,यह अपने हनीमून सुइट है
you are aware of that right,तुम उस के बारे में पता कर रहे हो है ना,तुम उस के बारे में पता कर रहे हो है ना
you would do that,आप ऐसा क्यों करेगा,आप ऐसा क्यों करेगा
the world wants peace,ढक्कन ले करोगे,दुनिया को अमन की ज़रूरत है
come on they are the five,वे वे जा रहे हैं,ये जांबाज़ पाँच हैं
go back to that life,आओ उसके लिए कुछ देखो,वापस कि जीवन में जाओ
i got a racket,मैं एक दांत हैं,मेरे हाथ में रैकेट है
that is the spare,कि कहाँ है,ये दूसरा वाला टायर ही है
gasps stop,सभी जोड़ो,हांफते हुए बंद करो
the wall is not going anywhere,मिशन खत्म नहीं कर रहा है,दीवार कहीं भी नहीं जा रहा है
it is not your fault,यह केवल में नहीं है,तुम्हारी कोई गलती नहीं है
i will fear no evil,मैं भाग कभी को कभी नहीं देखा था,मैं कोई बुराई डर होगा
did he threaten your sister,क्या उसने तुम्हारी बहन को धमकी दी,क्या उसने तुम्हारी बहन को धमकी दी
we are paying her for this,हम इस के लिए वापस चाहते हैं,हम इसके लिए पैसा देंगे
now who is a liar,वह एक विकल्प है,अब कौन झूठा है
everyone is sooner or later,नाम के खर्चों की पिता मर गया,हर कोई है   अभी या बाद में
it will be okay it is,यह यह सिर्फ है ठीक है,यह ठीक हो जाएगा यह है
that is what is up,यह क्या हो रहा है,यह क्या हो रहा है
come on hurry run,स्कॉट बढ़िया,द्वीप करने के लिए
and your kids know it,और तुम्हारे बच्चे भी ये जानते है,और तुम्हारे बच्चे भी ये जानते है
they are bringing boats hurry,मैं वापस हो जाएगा,मैं वापस हो जाएगा
we will kill her sir,हम ढूंढ़ खूनी लेंगे जाएगा,हम उसे मार सर होगा
alan is seriously worried,एलन को गंभीरता से है चिंतित,एलन को गंभीरता से है चिंतित
you have a savings bond,आप एक महिला पकड़ा,आप एक बचत बांड है
from the village opposite,पड़ोसी गांव,पड़ोसी गांव
gather around everyone gather around,जल्द और थकान टीम के घर,सब लोग जमा हो जाएं
i am afraid not,मैं नहीं कर रहा हूँ,मुझे डर है नहीं
you can check on wikipedia,आप विकिपीडिया पर जांच कर सकते हैं,आप विकिपीडिया पर जांच कर सकते हैं
he looks like amitabh bachchan,वह शॉ की बहन हो गई है,उन्होंने कहा कि अमिताभ बच्चन की तरह लग रहा है
i want it sorted,मैं वह जिंदा करूगी,मैंइसेहल चाहते
though they are a bit worn,वानर वे एक बार चाहते हैं,हालांकि वे थोड़ा फटे हुए हैं
no danger of that,इस बात का कोई खतरा नहीं,इस बात का कोई खतरा नहीं
those guys do not mess around,दोस्ताना व्यवहार बनाना मुझे नक्शा नहीं नहीं है,उन लोगों के आसपास गड़बड़ नहीं है
do not be shy lavender,मत मत मत हैं,शरमाओ मत लैवेंडर
they did not actually want magic,पांडा हमें कभी चूहे नहीं होगा,वे वास्तव में जादू नहीं चाहता था
how did he do that,वह ऐसा करना किया,उसने यह कैसे किया
i trust you bhairava,मुझे तुम पर विश्वास है भैरवा,मुझे तुम पर विश्वास है भैरवा
we are stealing her money,हम एक चार समाप्त कर रहे हैं,हम उसके पैसे चोरी कर रहे हैं
no no no madam,नहीं नहीं नहीं,नहीं नहीं नहीं
we do not need this guy,हमें पास कोई अधिकार नहीं नहीं है,हम इस आदमी की जरूरत नहीं है
no it is j ust that,नहीं सिर्फ   छोटे से छोटू,नहीं सिर्फ कि
como se llama,अपने हाथ मदर टेरेसा,कोमोसे   लामा
hiding behind his fairy god,जाओ और आप आप पिता करो,उसकी परी भगवान के पीछे छुप
i am a bird po,मैं अपने भाई को बुला रहा हूँ,पो मैं एक पंछी हूँ
i felt sorry for him,मैं उसके लिए खेद महसूस किया,मैं उसके लिए खेद महसूस किया
you do not know dear,तुम पता है न नहीं,तुम नहीं जानते प्रिय
gotten ideas from someone,जीवन रास्ता के पिता,किसी से विचार नहीं लिया
just stay here,बस यहाँ रहें,बस यहाँ रहें
not the grotty ones either,सस्ती होटल में नहीं जाते थे,सस्ती होटल में नहीं जाते थे
what a silly boy,क्या एक मूर्ख लड़का,क्या एक मूर्ख लड़का
do enjoy your party,अपने कोड के लिए करना,अपनी पार्टी का आनंद दें
honey it is a long story,हनी यह एक लंबी कहानी है,हनी यह एक लंबी कहानी है
i do not save people,मैं भाग्य की नहीं है,मैं लोगों को नहीं बचा है
one two three pan,एक प्रोलिटिक पाचक शेक,एक दो तीन पां
he has betrayed me,वह मुझ मुझे मुझे रहा है,उसने मुझे धोखा दिया है
you can check on wikipedia,आप विकिपीडिया पर जांच कर सकते हैं,आप विकिपीडिया पर जांच कर सकते हैं
we yeah i am with someone,मैं किसी के साथ हूं,मैं किसी के साथ हूं
well the rumors are right,जो धन नहीं सकता है,खैर अफवाहें सही कह रहे हैं
that is not possible,यह मतलब नहीं है,यह संभव नहीं है
no i can handle him,नहीं मैं उसे उसे कर सकते हैं,नहीं मैं उसे सँभाल लूँगा
capece stays and you are going,निश्चित रूप से वे मर रहे हैं,कैपेसे रह रहा है और तुम जा रहे हो
the myth the legend,वसंत कमरे में जाओ,मिथक   कथा
you are my son,तुम मेरी यादों हैं हैं,तुम मेरे बेटे हो
you have done well,आप की जरूरत नहीं है,अच्छा किया
sweetheart i swear on you,जानेमन मैं तुम पर कसम खाता हूँ,जानेमन मैं तुम पर कसम खाता हूँ
mom will soon die,जैसी मां वैसी रहेंगे,माँ जल्दी ही मर जाएगी
brice what is the matter,ब्राईस क्या बात है,ब्राईस क्या बात है
and where are they now,और अब वे कहां हैं,और अब वे कहां हैं
i said get out,मैं उसे लाना करूगी,' मैं बाहर निकलना कहा '
it is just the inside,यह मेरा बहुत घर है,यह बस के अंदर है
not more than that,नहीं की भी लाभ नहीं,इससे अधिक नहीं
we have a graduation battle tomorrow,हम कल एक स्नातक स्तर की लड़ाई है,हम कल एक स्नातक स्तर की लड़ाई है
no get in there,नहीं वहाँ घुसाओ,नहीं वहाँ घुसाओ
you follow this officer,आप सच लोगों को फैसला,इस अधिकारी के पीछे पीछे चलो
newborn will go mad,नवजात पागल हो जाऊँगा,नवजात पागल हो जाऊँगा
where are you going,तुम कहाँ जा रहे हो,तुम कहाँ जा रहे हो
crowd cheering,सुप्रभात से पीछा सूर्यास्त,भीड़जयकार
hear that boys,बस मेरे प्रभू,लड़कों सुना तुमने
i am seeing my daughter,मैं अपने शहर हूँ हूँ,मैं अपनी बेटी को देख रहा हूँ
this is the worst,यह होना हो गया है,यह सबसे बुरी है
belonged to my dowry,मेरे दहेज की थीं,मेरे दहेज की थीं
another day at the office,छुट्टी में कभी दिन बार,कार्यालय में एक और दिन
you got beautiful breasts,तुम्हारे वचन की सुनी,तुम्हारे स्तन सुंदर है
lasse karlsson from tommelilla,स्टॉक प्रतिभूतियों करमुक्त नगरपालिकाएं,लेसे कार्लस्सन टॉमेलिला से
you can do it,आप यह कर सकते हैं,तुम यह कर सकते हो
fucking cave bear,कमीना गुफा भालू,कमीना गुफा भालू
u is bu,बदनामी गिर लाइलाज है,यू बू
easy now you devil,तुम लोग हैं,आराम से अब शैतान
so i am a rock hound,हाँ मैं दौड़ना आदमी हूं,तो मैं एक रॉक शिकारी कुत्ता हूँ
yeah i was just checkin,हाँ मैं फिदा हो गया था,हाँ मैं सिर्फ ' चेकइन किया गया था
you wanted to say something,आप कुछ देखना चाहते हैं,तुम कुछ कहना चाह रही थी
bruno put on your jacket,अपने कोट ओर लटका,ब्रूनो अपनी जैकेट पहन लो
the way he watches you,आप जो हमेशा विस्फोट किया तो,जिस तरह वह तुम्हें देखता है तुम
oh for fucks sake,हमें प्रजनन के लिए धन्यवाद,ओहबकवासखातिरकेलिए
so how is the wife,तो अपने जीवन क्या है,तो कैसे पत्नी है
the client will not run away,कमबख्तबात नहीं नहीं गया,ग्राहक भागेगा नहीं
i just did,मैं बस किया,मैं बस किया
come on help yourself,आओ कुछ लो,आओ कुछ लो
no it is time for triage,नहीं सिर्फ़ में लिए नहीं है,नहीं यह ट्राइएज के लिए समय है
you not can be in here,तुम यहाँ नहीं रह सकते,तुम यहां अंदर नहीं आ सकते
and take him home,और कीड़े बाहर ले,और उसे घर ले
do not worry about that,उस के बारे में चिंता मत करो,के बारे में चिंता मत करो कि
this is what i do,यही क्या है कि मैं क्या है,मेरा यही तो काम है
he is somewhere here,वह यहाँ यहाँ है चार्ल्स,वो यहीं कहीं है
it is for you sweetie,यह मिलकर अच्छा लगा,यह स्वीटी आप के लिए है
well i am a panda,सामान्य मैं रानी है,खैर मैं एक पांडा हूँ
did you touch anything,तुम्हें छू कुछ क्या,तुम्हें छू कुछ क्या
warning standard does not work,मखौल औरत बास्किन रॉबिन्स नहीं खेलते हैं,चेतावनी मानक काम नहीं करता है
listen to me once,मेरी बीस अच्छा लगा,केवल एक बार मेरी बात सुनो
shut up all right,सही फोन ले लो,अप ठीक रहो
oh your majesty no,तुम्हारे लो नहीं,ओह महाराज नहीं
ta got have somebody help you,पत्नी तुम्हारा आपके लगा,आपको किसी की मदद लेनी होगी
do not challenge these stories,क्या इन खाने को मत करो,इन कहानियों को चुनौती मत करो
we are out of time,हम देख में हैं,हम समय से बाहर कर रहे हैं
can you read,आप दौड़ सकते हैं,तुम पढ़ सकते हो
for leaking the blue print,ब्लू प्रिंट लीक करने के लिए,ब्लू प्रिंट लीक करने के लिए
why all of a sudden,यूँ अचानक क्यों दे रहे हैं,यूँ अचानक क्यों दे रहे हैं
what destiny do we,वे क्या कहा,क्या नियति है हमें
you do not know dear,तुम पता है न नहीं,तुम नहीं जानते प्रिय
the small one,एक मिनट रुको,छोटी वाली
then talk to your sisterinlaw,तो बातें जानने के लिए शुरू हो,तो अपनी साली से बात करो
facing maniacs that is my job,इस   इस   यह एक जालसाजी है,पागलों का सामना करना मेरा काम है
proceed to rendezvous charlie,फ़ोटो चिल्लाओ के लिए,मिलन स्थल चार्ली के लिए आगे बढ़ें
well now let me see,लेकिन वह मुझे छोड़ दिया,मुझे देखने दें
do not hang up,हार नहीं मानो,फोन मत रखना
ominous music,अशुभ संगीत,अशुभ संगीत
i could not sleep,मैं नहीं नहीं सकता हूं,मैं सो नहीं सका
simon you are hurting me,डैडी तुम बात कर रहे हो,साइमन तुम मुझे आहत कर रहे हैं
or where i have come from,या मैं कहाँ से आए हैं,या मैं कहाँ से आए हैं
fucking ziploc my ass,अपनी आँखें खुली रखें,ज़िपलॉक जाए भाड़ में
who the hell knows,कौन जाओ,कौन जाने
what do i do,मुझे क्या करना चाहिए,मैंक्याकरूँ
theme music playing,अर्र पाइप नीचे,थीम संगीत खेल
still yeah you are totally right,ठीक है तुम निश्चित रूप से निकाल रहे हैं,अब भी    हाँ तुम हो पूरी तरह से सही है
give me your hand,अपना हाथ देना,अपना हाथ देना
just you vs me,तो तुम मुझे मुझे छोड़ दिया,बस तुम बनाम मुझे
they do everything for me,वे मेरे लिए इंतजार करती है,वे मेरे लिए सब कुछ करते हैं
everybody lift your shirts up,चलो खाने के घोडों को शुरू कर सकते हैं,चलो सब लोग अपनी अपनी शर्ट उठाओ
who killed my father,अपना रास्ता ख़ुद बनाएं,मेरे पिता की हत्या किसने की
your number is on display,हुकुम यही नम्बर है,हुकुम यही नम्बर है
you lost your son,आप अपने परिवार का फैसला,आपका बेटा खो गया
reporting for channel news,गट्ठर के लिए के लिए,चैनल   न्यूज के लिए रिपोर्टिंग
and you must be kai,और तुम यकीनन काई होगे,और तुम यकीनन काई होगे
i will meet you there,मैं तुम्हें याद आती है प्रेमी,मैं तुम्हें वहाँ मिलूँगा
yeah obviously you do not,यही कारण है कि तुम नहीं,हाँ जाहिर है तुम नहीं
sounds like a familiar knock,मेरा सचिव की बैठक स्थगित है,एक परिचित दस्तक की तरह लगता है
they are chewing us up,वे हमें चबा रहे हैं,वे हमें चबा रहे हैं
destroyedthewestgate of the white house,व्हाइट हाउस का वैस्ट गेट नष्ट कर दिया है,व्हाइट हाउस का वैस्ट गेट नष्ट कर दिया है
we need to hurry,हमें जल्दी करनी होगी,हमें जल्दी करनी होगी
that girl will be human,ये कुछ अलग हो था,वह लड़की मानव होगा
no madam not yet,नहीं नहीं नहीं,नहीं मैडम अभी नहीं
let us let him rest,उसे आराम करते चलो,उसे आराम करते चलो
stay away from him,उससे दूर रहो,उससे दूर रहो
no it is so quiet,नहीं कौन सब सब कौन है,नहीं यह बहुत शांत है
why is not it glowing,यह मतलब नहीं है,यह चमक क्यों नहीं है
with a force that size,एक माँ के सबसे बड़ा है,एक बल के साथ आकार कि
are both wanted for questioning,पूछताछ के लिए आवश्यक दोनों हैं,पूछताछ के लिए आवश्यक दोनों हैं
yes of course,हाँ बिल्कुल,हाँ बिल्कुल
on my count rear jets,मेरी गिनती पीछे विमानों पर,मेरी गिनती पीछे विमानों पर
oh she loved me,ओह वह मुझे छोड़ दिया,ओह वह मुझे प्यार करता था
are we worried about him,वे इस बारे में बाद में देखेंगे,हम उसके बारे में चिंतित हैं
get rid of the car,रास्ते से हटो,कार से छुटकारा मिलता है
i could have killed you woman,मैं कहीं ग़लतियाँ हो जाती हैं,मैं तुम्हें मार सकता था लड़की
raleigh listen to me,रैले मेरी बात सुनो,रैले मेरी बात सुनो
next to the red one,एलेन नाइल्स में स्वागत है,लाल वाले के बगल
you do not know walker john,जॉन वो डाइनोसॉर था,जॉन वो डाइनोसॉर था
that is the king james version,यही सत्संग तो जला कहां वाला है,राजा जेम्स संस्करण है
that was the police,ये सबसे ओर गए,यही कारण है कि पुलिस था
just give it some time,बस यह कुछ समय दे,बस यह कुछ समय दे
are you kidding me,क्या बात है,क्या बात है
is she not here yet,यह ऐसा नहीं करता था,वह अभी तक आई नहीं क्या
she was the deciding vote,वह दुश्मन में लड़ता है,वह निर्णायक मतदान था
the assassin a joe,स्थिति नियंत्रण में जाओ,हत्यारे एकजो
you embarrassed about me,तुम मुझे के बारे में क्या चेतावनी थे,तुम मेरे बारे में शर्मिंदा
this is not legal,यह नहीं है ना,यह कानूनी है
anybody can do that,वह अभी नहीं कर सकते हैं,किसी को भी ऐसा कर सकते हैं
what do you want mate,तुम क्या कर रहे हो,आप दोस्त क्या चाहते हो
it must be true then,इसे सब हो गया है,यह सच है तो होना चाहिए
no i am with vic,नहीं मैं किसी से तक,नहीं मैं विक के साथ हूँ
yes we have been there,हाँ हम वहाँ कर रहा है,हाँ हम वहाँ किया गया है
you remember what aristotle said,तुम पता है कि प्रिया है,आप अरस्तू ने कहा कि क्या याद है
what is the use,सीरियल नंबर क्या है,किससे बोलूं
best leave it that way,यह सबसे अच्छा तरीका है कि छोड़ो,यह सबसे अच्छा तरीका है कि छोड़ो
no kinsman to me,मेरे लिए कोई रिश्तेदार,मेरे लिए कोई रिश्तेदार
baskinrobbins always finds out bro,आपको समय ओएइ ही पिता तो किया,बास्किन रॉबिन्स हमेशा भाई पता चल गया
promise you will kill him,आप करो उसे उसे देख लेते,वादा करो कि तुम उसे मारोगे
that is some fucked up shit,कि कुछ भी है उनके विशेष आता है,कि कुछ गड़बड़ ऊपर बकवास
the process is highly volatile,शुभ पूर्ण आत्मा जारी है,प्रक्रिया अत्यधिक अस्थिर है
i think after last week,मैं एक बार का प्रभारी इस्तीफा हूँ,मैं पिछले सप्ताह के बाद लगता है
maybe dougs back there,सब वहाँ वहाँ वहाँ ले,शायद डौग वापस वहाँ है
i can hear you breathing,मैं तुम पर पर कर सकता हूँ,मैं तुम्हारी साँसें सुन सकता हूं
where are you now,तुम आप,अब तुम कहाँ हो
otherwise what will you do,भाई आप क्या किया है,नहीं तो   आप क्या करेंगे
put it in there,यह देखोकौन,वहाँ में डाल दिया
meta human research,बहुत सारे पहले,मेटा मानव अनुसंधान
could not it have waited,कोई नहीं नहीं आयेगी,मेरा इंतजार नहीं कर सका
all right listen ladies,ठीक है महिलाओं सुनो,ठीक है महिलाओं सुनो
he could be hurt,वह हमें वापस कर रहे हैं,उसे चोट लगी हो सकता है
romley avenue east yeah,सितारों को देखो,रोमली एवेन्यू पूर्व
this shit is crazy,इस गंदगी पागल है,इस गंदगी पागल है
i am telling you now mate,मैं तुम्हें तुम्हें तुम्हें आती है प्रेमी,मैं अब मेट तुम्हें बता रहा हूँ
got a little change,बहुत अच्छा है सर,थोड़ा परिवर्तन समझे
oh my god,ओह भगवान,ओह भगवान
the alf technically failed,दूसरे यात्रा तैयार करो,एएलएफ़ वाले असफल रहे
when did you come back,क्या तुम कहाँ जाओ,आप जब वापस आया था
this is my place,यह मेरी जगह है,यह मेरी जगह है
you bleed free my lord,आप मेरी कवर का फैसला   की,तुम मेरे प्रभु फ्री खून बहाना
why are you whispering,तुम फ़ुसफ़ुसा क्यों हो हो,तुम फ़ुसफ़ुसा क्यों रही हो
that is how it works,यही वह कौन है कि हम कटघरा पाओगे,कि यह कैसे काम करता है
follow with the main guard,मुख्य गार्ड के साथ पालन करें,मुख्य गार्ड के साथ पालन करें
it is okay it is okay,यह यह है कि ठीक है ठीक है,ठीक है
i will get nathan out,मैं यहाँ से ले जाएगा,मैं नाथन बाहर निकलना होगा
and he did not kill her,और वह वह भी नहीं कहा,और वह उसे नहीं मारा
we should go someplace else,हम पांच ऊर्जा को किया गया,हम कहीं और जाना चाहिए
hey i got an appointment,अरे मैं एक दांत जरूरत है,अरे मैं एक नियुक्ति है
he not can be moved,उसे नहीं ले जा सकते,उसे नहीं ले जा सकते
you are free to go,तुम जाने को आज़ाद हो,तुम जाने के लिए आज़ाद हो
want to hear a story,अपने कायर खुद की तरह पीला,एक कहानी सुनना चाहते हैं
get out of here,चले जाओ यहाँ से,यहां से चले जाओ
all of your heart,पूरे दिल से,पूरे दिल से
now go get letty,अब चलो चलते हैं,अब सारा मिल जाना
tell us about your world,हमें इस ग्रह के बारे में बताइए,हमें इस ग्रह के बारे में बताइए
hey how is it going,अरे यह कैसे हो रहा है,अरे यह कैसे हो रहा है
plus his mattress is gone,आपकी प्रिया अब चला गया है,इसके अलावा अपने गद्दे गया है
oh it is dollar,तो वह कुछ काम नहीं है,ओह यह   डॉलर है
no we are not,नहीं ऐसा नहीं है,नहीं हम नहीं कर रहे हैं
son of a god,एक परमेश्वर के पुत्र   मैं,एक परमेश्वर के पुत्र   मैं
you remember what aristotle said,तुम पता है कि प्रिया है,आप अरस्तू ने कहा कि क्या याद है
what is with that outfit,क्या गलत क्या है,इसके कपड़े कैसे हैं
you put me down,मुझे नीचे उतारो,मुझे नीचे उतारो
i love you daddy,मैं तुमसे तुमसे प्यार करता हूँ,मैं आपसे प्यार करता हूँ पिताजी
and with a kid too,और एक और एक बिना भरना,और वो भी बच्चे के साथ
you will need me there,तुम बस मुझे गोली लिया है,मेरी ज़रूरत पड़ेगी
reinstate the workers,दूसरी ओर मालिक,कर्मचारियों को बहाल करो
they are right there with you,उन्होंने आप तुम्हारे साथ हैं हैं,वो वहीँ तुम्हारे साथ होंगे
they not can stay here anymore,ये लोग यहाँ अब और नहीं रह सकते,ये लोग यहाँ अब और नहीं रह सकते
you are his brotherinlaw right,तुम कुछ ठीक कर रहे हैं,ये आपके जीजा हैना
max where are you,ब्लॉक आप कहाँ हैं,मैक्स तुम कहाँ हो
i am sure doug has it,मैं यकीन है कि यह ऐडवोकाट है,मुझे यकीन है कि डौग यह है हूँ
why would i apologize,मैं देखा मैंने,मुझे क्षमा करें आप मुझे बहाना क्यों करेंगे
bring the basket,विषय को सुरक्षित,क्या मुझे इसके लिए सीढ़ियाँ चढ़ना है
yes the metahuman thesis,हाँ ऑटो बाइक टेम्पलटन,हाँ मेटामानव थीसिस
give me the bat,मुझसे हाथ देना,मुझे बल्ला दो
yeah this is it,हाँ यह है,हाँ सही बात है
only saw their bad side,खैर श्री बोबो का लाभ उठाने के लिए,मैंने उनका शैतानी रूप ही देखा है
time to go mr president,दूर यात्रा नीचे नीचे दरार,जाना समय अध्यक्ष महोदय
d why i fucking hire you,मैं मैं तुम्हें फोन आया था,क्यों मैं कमबख्त आप किराया
he needs you to,उसने आप के लिए से थी,वह आप की जरूरत है
right on top of charleston,थोडा बलों प्रबल हैं,चार्ल्सटन के शीर्ष पर ठीक है
sounds good to us,इस आसान है पेले,सही कहा
please make father say yes,बस बंद करो जाएगा,कृपया पिता हाँ कहने के लिए
can we trust him,क्या हम उस पर विश्वास है,क्या हम उस पर विश्वास है
let our parents go,पीएकार्यभारआदमी,हमारे मम्मीपापा को जाने दो
groans laughing,मशीनरी पीस,कराहना हँस
i love you dad,मैं तुमसे तुमसे प्यार करता हूँ,मैं आपको प्यार करता हूं डैड
i told you we are out,मैंने तुमसे कहा था   हम बाहर हैं,मैंने तुमसे कहा था   हम बाहर हैं
there they go again,वहाँ वे फिर जाना,वहाँ वे फिर जाना
he is here to kill you,उन्होंने कहा कि आप काम की तरह होगा,वह यहाँ है तुम्हें मारने के लिए
shall i call an ambulance,मैं एक एक की जरूरत है,मैं एक एम्बुलेंस फोन करेगा
do this for me,मेरे लिए यह करना,मेरे लिए यह करना
must be a dog,ये वास्तव में है,एक कुत्ता होना चाहिए
take us home,हमें घर ले चलो,हमें घर ले चलो
get up here,चले जाओ,सेक्स वाले मुँह से बेहतर था
can i come with you,क्या मैं आपकी मदद कर सकती हूँ,मैं तुम्हारे साथ आ सकता है
the living come aboard,रुको   रुको,शेष लोग आ सकते हैं
and my true successor,और मेरे जूते हो क्षतिपूर्ति,और मेरा सच्चा उत्तराधिकारी
he is sounding absolutely absurd,वह बिल्कुल बेतुका लग रहा है,वह बिल्कुल बेतुका लग रहा है
cup falls,बहुत जादुई लापरवाह,कप गिर जाता है
i know you busy baby,मैं मैं इतना बातों से कहा है,मैं तुम्हारे बच्चे व्यस्त पता है
you are a northerner are not you,आप आशा नहीं है आप नहीं हैं,यदि आप एक उत्तरवासी कर रहे हैं नहीं कर रहे हैं
step away from the edge,आगे बढ़ो से जाओ,किनारे से दूर रहो
the führer is dead,हड़पनेवाले खतरे चुका है,फ्यूरर मृत है
latin music playing,अर्र सांस   कराहना,लैटिनसंगीतखेल
who said anything about gambling,तुम के बारे में चिंता मत करो,किसने कहा कि जुआ के बारे में कुछ
give me a hand,गिनती कॉफी दो,वह बाहर है
it is been a pleasure,यह बहुत अच्छा हो गया है,यह एक खुशी की गई है
so go ahead say it,बस यह इसे देखते हैं,आगे बढ़ो यह कहना
two if by air,दो हवा से यदि,दो हवा से यदि
how did you know,तुम्हेंकैसेपताहै,आप कैसे जानते हैं
made land in san francisco,एक उंगलियों का साथ करना हो,सान फ्रांसिस्को में भूमि बनाया गया था
the enemys gate is down,दुश्मन के द्वार   नीचे है,दुश्मन के द्वार   नीचे है
